commit	thermal_resistance	sim_time_s	status	description
c7e8ea2	1.257743E-05	189.1	discard	node-0 iter-83: structure.py — Thermal Interface Material (TIM) composition.
d355ce1	N/A	N/A	crash	node-0 iter-84: unknown
5fb39c4	1.194526E-05	202.9	discard	node-0 iter-86: ── Composition (must sum to 1.0, each >= 0.02) ───────────────────────────────
c0cb015	9.719414E-06	184.3	discard	node-0 iter-87: structure.py — Thermal Interface Material (TIM) composition.
e507eef	1.144410E-05	214.1	discard	node-0 iter-88: structure.py — Thermal Interface Material (TIM) composition.
c9dccd9	1.102750E-05	198.0	discard	node-0 iter-89: structure.py — Thermal Interface Material (TIM) composition.
ff96e09	1.143812E-05	204.7	discard	node-0 iter-90: structure.py — Thermal Interface Material (TIM) composition.
1e4d666	8.359989E-06	277.3	discard	node-0 iter-91: structure.py — Thermal Interface Material (TIM) composition.
df09c5b	1.150395E-05	200.6	discard	node-0 iter-92: structure.py — Thermal Interface Material (TIM) composition.
e7067f4	1.217680E-05	162.6	discard	node-0 iter-94: structure.py — Thermal Interface Material (TIM) composition.
0681b3b	1.171944E-05	163.5	discard	node-0 iter-95: structure.py — Thermal Interface Material (TIM) composition.
9248039	N/A	N/A	crash	node-0 iter-96: unknown
86f061e	1.194194E-05	164.0	discard	node-0 iter-97: ── Composition (must sum to 1.0, each >= 0.02) ───────────────────────────────
be5ce7c	N/A	N/A	crash	node-0 iter-98: unknown
8df33c6	1.223196E-05	163.2	discard	node-0 iter-99: ── Composition (must sum to 1.0, each >= 0.02) ───────────────────────────────
523df22	1.142436E-05	200.1	discard	node-0 iter-100: structure.py — Thermal Interface Material (TIM) composition.
